Data	{2nd pretonic}	{1st pretonic}	{tonic (stressed)}
Ar\-khan\-gelsk	21.4285714285714	26.0204081632653	52.5510204081633
Che\-lya\-binsk	24.5901639344262	28.4153005464481	46.9945355191257
Sochi	21.6867469879518	28.3132530120482	50
Ka\-li\-nin\-grad	22.4043715846995	30.6010928961749	46.9945355191257
Nef\-te\-yu\-gansk	20.5607476635514	32.2429906542056	47.196261682243
Mos\-cow	20.6896551724138	37.2413793103448	42.0689655172414
{Perm (sp)}	25.1655629139073	31.1258278145695	43.7086092715232
