Data	{1 t}	{2 o-2}	{3 p}	{4 o-1}	{5 t}	{6 a-0}	{7 t'}
M	16.6206624605678	4.39668769716088	17.981072555205	10.0552050473186	16.2460567823344	15.5559936908517	19.1443217665615
P	15.8584534731324	4.66204830556076	19.3035012170006	6.60924920426886	18.4422392810335	16.3639767833739	18.76053173563
PetMo	15.0378214826021	5.4160363086233	15.5975794251135	12.6475037821483	17.3978819969743	19.1376701966717	14.7655068078669
V	15.3617810760668	7.47680890538033	19.2578849721707	8.14471243042672	14.8794063079777	17.3840445269017	17.4953617810761
